thisN,thisTrialN,thisRepN,T1w_LIBRE.thisRepN,T1w_LIBRE.thisTrialN,T1w_LIBRE.thisN,T1w_LIBRE.thisIndex,thisRow.t,notes,trail.started,waiting_trigger.started,key_resp.started,fix_desc.started,trail.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_ET.started,etRecord.started,start_ET.stopped,dots.started,dot_1.started,dot_1.stopped,dot_2.started,dot_2.stopped,dot_3.started,dot_3.stopped,dot_4.started,dot_4.stopped,dot_5.started,dot_5.stopped,dot_6.started,dot_6.stopped,dot_7.started,dot_7.stopped,dot_8.started,dot_8.stopped,dot_9.started,dot_9.stopped,dot_10.started,dot_10.stopped,dots.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
8,0,8,8,0,8,0,99.61603379994631,,,,,,,,,,,,,99.60183290019631,99.61603379994631,100.61577890068293,100.61577890068293,101.61567889992148,101.61567889992148,102.61575510073453,102.61575510073453,103.61585090029985,103.61585090029985,104.61596750002354,104.61596750002354,105.61574599985033,105.61574599985033,106.61573080066592,106.61573080066592,107.61584880016744,107.61584880016744,108.61597410030663,108.61597410030663,109.61554689984769,109.60003870073706,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
9,0,9,9,0,9,0,109.61554689984769,,,,,,,,,,,,,109.60074710007757,109.61554689984769,110.61599159985781,110.61599159985781,111.6159518007189,111.6159518007189,112.61562100052834,112.61562100052834,113.61605900060385,113.61605900060385,114.61604900006205,114.61604900006205,115.6158825000748,115.6158825000748,116.61580110061914,116.61580110061914,117.61589230038226,117.61589230038226,118.61587470024824,118.61587470024824,119.61593770049512,119.60043110046536,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
10,0,10,10,0,10,0,119.61593770049512,,,,,,,,,,,,,119.60217680037022,119.61593770049512,120.61587220057845,120.61587220057845,121.61568799987435,121.61568799987435,122.61562870070338,122.61562870070338,123.61614380031824,123.61614380031824,124.61615040060133,124.61615040060133,125.61589740030468,125.61589740030468,126.61588380020112,126.61588380020112,127.61586990021169,127.61586990021169,128.61591480020434,128.61591480020434,129.616025400348,129.60040780063719,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
11,0,11,11,0,11,0,129.616025400348,,,,,,,,,,,,,129.6012307005003,129.616025400348,130.6157499998808,130.6157499998808,131.61589020024985,131.61589020024985,132.61586390063167,132.61586390063167,133.6155979000032,133.6155979000032,134.61601540073752,134.61601540073752,135.615557000041,135.615557000041,136.61629720032215,136.61629720032215,137.6158244004473,137.6158244004473,138.615847799927,138.615847799927,139.6155879003927,139.60006340034306,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
12,0,12,12,0,12,0,139.6155879003927,,,,,,,,,,,,,139.60106540005654,139.6155879003927,140.61604490038007,140.61604490038007,141.61592150013894,141.61592150013894,142.61600839998573,142.61600839998573,143.6156289000064,143.6156289000064,144.6161575000733,144.6161575000733,145.6159326005727,145.6159326005727,146.6156919999048,146.6156919999048,147.61597369983792,147.61597369983792,148.61580620054156,148.61580620054156,149.61574279982597,149.6005541998893,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
13,0,13,13,0,13,0,149.61574279982597,,,,,,,,,,,,,149.60214000009,149.61574279982597,150.6156919999048,150.6156919999048,151.61644050013274,151.61644050013274,152.6158010000363,152.6158010000363,153.6158215003088,153.6158215003088,154.61624420061707,154.61624420061707,155.61593900062144,155.61593900062144,156.61565829999745,156.61565829999745,157.61581839993596,157.61581839993596,158.61599580012262,158.61599580012262,159.61579169984907,159.6002671001479,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
14,0,14,14,0,14,0,159.61579169984907,,,,,,,,,,,,,159.60163330007344,159.61579169984907,160.61571300029755,160.61571300029755,161.61583970021456,161.61583970021456,162.61601760052145,162.61601760052145,163.6163851004094,163.6163851004094,164.61619910039008,164.61619910039008,165.61567870061845,165.61567870061845,166.61624590028077,166.61624590028077,167.61586510017514,167.61586510017514,168.61557170003653,168.61557170003653,169.6156740002334,169.5998517004773,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
15,0,15,15,0,15,0,169.6156740002334,,,,,,,,,,,,,169.6007267003879,169.6156740002334,170.6156250005588,170.6156250005588,171.6156363999471,171.6156363999471,172.61553790047765,172.61553790047765,173.61580830067396,173.61580830067396,174.6157855000347,174.6157855000347,175.6156280003488,175.6156280003488,176.61560850031674,176.61560850031674,177.6158340005204,177.6158340005204,178.6158645004034,178.6158645004034,179.61547610070556,179.59961620066315,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
16,0,16,16,0,16,0,179.61547610070556,,,,,,,,,,,,,179.60018420033157,179.61547610070556,180.61543930042535,180.61543930042535,181.61565820034593,181.61565820034593,182.616255200468,182.616255200468,183.6155895004049,183.6155895004049,184.61575890053064,184.61575890053064,185.61575370002538,185.61575370002538,186.61608669999987,186.61608669999987,187.61569640040398,187.61569640040398,188.61580030061305,188.61580030061305,189.61592080071568,189.60016540065408,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
17,0,17,17,0,17,0,189.61592080071568,,,,,,,,,,,,,189.60111180040985,189.61592080071568,190.61586729995906,190.61586729995906,191.61555280070752,191.61555280070752,192.61591370031238,192.61591370031238,193.61596790049225,193.61596790049225,194.6157897002995,194.6157897002995,195.61560640018433,195.61560640018433,196.61599460057914,196.61599460057914,197.61567050032318,197.61567050032318,198.61587250046432,198.61587250046432,199.61557580064982,199.60089410003275,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
