thisRow.t,notes,trail.started,waiting_trigger.started,key_resp.started,fix_desc.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,000001,001,2025-04-24_14h23.43.768,fixation_dots_T1weighted,2024.2.1,60.1025110636901,2025-04-24 14h24.05.646336 +0200,
,,73.85272109974176,73.87091339938343,73.87091339938343,73.87091339938343,,,,,,,,
