21.1613 	EXP 	Created dot_4 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-3.0, draggable=False, fillColor=array([-1,  1,  1]), fillColorSpace='rgb', fillRGB=array([-1,  1,  1]), interpolate=True, lineColor=array([-1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([-1,  1,  1]), lineWidth=1.0, name='dot_4', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.04, 0.04]), units='norm', vertices=ndarray(...), win=Window(...), windingRule=None)
21.1614 	EXP 	window1: mouseVisible = True
21.1632 	EXP 	Created dot_5 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-4.0, draggable=False, fillColor=array([0.451 , 0.4275, 0.4353]), fillColorSpace='rgb', fillRGB=array([0.451 , 0.4275, 0.4353]), interpolate=True, lineColor=array([0.451 , 0.4275, 0.4353]), lineColorSpace='rgb', lineRGB=array([0.451 , 0.4275, 0.4353]), lineWidth=1.0, name='dot_5', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.04, 0.04]), units='norm', vertices=ndarray(...), win=Window(...), windingRule=None)
21.1633 	EXP 	window1: mouseVisible = True
21.1651 	EXP 	Created dot_6 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-5.0, draggable=False, fillColor=array([ 1.    ,  0.7647, -0.6235]), fillColorSpace='rgb', fillRGB=array([ 1.    ,  0.7647, -0.6235]), interpolate=True, lineColor=array([ 1.    ,  0.7647, -0.6235]), lineColorSpace='rgb', lineRGB=array([ 1.    ,  0.7647, -0.6235]), lineWidth=1.0, name='dot_6', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.04, 0.04]), units='norm', vertices=ndarray(...), win=Window(...), windingRule=None)
21.1651 	EXP 	window1: mouseVisible = True
21.1670 	EXP 	Created dot_7 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-6.0, draggable=False, fillColor=array([ 0.2235, -1.    ,  1.    ]), fillColorSpace='rgb', fillRGB=array([ 0.2235, -1.    ,  1.    ]), interpolate=True, lineColor=array([-0.15, -0.1 ,  1.  ]), lineColorSpace='rgb', lineRGB=array([-0.15, -0.1 ,  1.  ]), lineWidth=1.0, name='dot_7', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.04, 0.04]), units='norm', vertices=ndarray(...), win=Window(...), windingRule=None)
21.1670 	EXP 	window1: mouseVisible = True
21.1690 	EXP 	Created dot_8 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-7.0, draggable=False, fillColor=array([ 0.3412, -0.1294, -0.5059]), fillColorSpace='rgb', fillRGB=array([ 0.3412, -0.1294, -0.5059]), interpolate=True, lineColor=array([ 0.3412, -0.1294, -0.5059]), lineColorSpace='rgb', lineRGB=array([ 0.3412, -0.1294, -0.5059]), lineWidth=1.0, name='dot_8', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.04, 0.04]), units='norm', vertices=ndarray(...), win=Window(...), windingRule=None)
21.1691 	EXP 	window1: mouseVisible = True
21.1713 	EXP 	Created dot_9 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-8.0, draggable=False, fillColor=array([ 0.6078, -0.2784, -0.2784]), fillColorSpace='rgb', fillRGB=array([ 0.6078, -0.2784, -0.2784]), interpolate=True, lineColor=array([ 0.6078, -0.2784, -0.2784]), lineColorSpace='rgb', lineRGB=array([ 0.6078, -0.2784, -0.2784]), lineWidth=1.0, name='dot_9', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.04, 0.04]), units='norm', vertices=ndarray(...), win=Window(...), windingRule=None)
21.1714 	EXP 	window1: mouseVisible = True
21.1733 	EXP 	Created dot_10 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-9.0, draggable=False, fillColor=array([-0.0039,  1.    ,  0.6627]), fillColorSpace='rgb', fillRGB=array([-0.0039,  1.    ,  0.6627]), interpolate=True, lineColor=array([-0.0039,  1.    ,  0.6627]), lineColorSpace='rgb', lineRGB=array([-0.0039,  1.    ,  0.6627]), lineWidth=1.0, name='dot_10', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.04, 0.04]), units='norm', vertices=ndarray(...), win=Window(...), windingRule=None)
21.1734 	EXP 	window1: mouseVisible = True
21.1766 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.12, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text="End press 't'", units='norm', win=Window(...), wrapWidth=1)
0.0135 	EXP 	window1: mouseVisible = True
0.0159 	EXP 	Created calibration_2Target = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=2.0, name='calibration_2Target', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.3, 0.3]), units='norm', vertices=ndarray(...), win=Window(...), windingRule=None)
0.0162 	EXP 	window1: mouseVisible = True
0.0186 	EXP 	Created calibration_2TargetInner = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([-1.        ,  0.00392157, -1.        ]), fillColorSpace='rgb', fillRGB=array([-1.        ,  0.00392157, -1.        ]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=2.0, name='calibration_2TargetInner', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.14, 0.14]), units='norm', vertices=ndarray(...), win=Window(...), windingRule=None)
371.5577 	EXP 	waiting_trigger: autoDraw = True
371.5577 	EXP 	fix_desc: autoDraw = True
579.3743 	EXP 	eyetracker.clearEvents()
579.8754 	EXP 	eyetracker.setRecordingState(True)
579.8783 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
579.8818 	DATA 	Keypress: s
579.9004 	EXP 	waiting_trigger: autoDraw = False
579.9004 	EXP 	fix_desc: autoDraw = False
579.9004 	EXP 	dot_2: borderColor = <psychopy.colors.Color: (-1.0, -1.0, 0.09, 1.0)>
579.9004 	EXP 	dot_1: autoDraw = True
580.8850 	EXP 	dot_2: autoDraw = True
580.9014 	EXP 	dot_1: autoDraw = False
581.8698 	DATA 	Keypress: s
581.8853 	EXP 	dot_2: autoDraw = False
581.8853 	EXP 	dot_3: autoDraw = True
582.8857 	EXP 	dot_3: autoDraw = False
582.8857 	EXP 	dot_4: autoDraw = True
583.8863 	EXP 	dot_4: autoDraw = False
583.8863 	EXP 	dot_5: autoDraw = True
584.3697 	DATA 	Keypress: s
584.8851 	EXP 	dot_5: autoDraw = False
584.8851 	EXP 	dot_6: autoDraw = True
585.8849 	EXP 	dot_6: autoDraw = False
585.8849 	EXP 	dot_7: autoDraw = True
586.8724 	DATA 	Keypress: s
586.8854 	EXP 	dot_7: autoDraw = False
586.8854 	EXP 	dot_8: autoDraw = True
587.8849 	EXP 	dot_8: autoDraw = False
587.8849 	EXP 	dot_9: autoDraw = True
588.8855 	EXP 	dot_9: autoDraw = False
588.8855 	EXP 	dot_10: autoDraw = True
589.3694 	DATA 	Keypress: s
589.8686 	EXP 	New trial (rep=1, index=0): <Trial 1 (0 in rep 1) data={'thisN': 1, 'thisTrialN': 0, 'thisRepN': 1}>
589.8850 	EXP 	dot_10: autoDraw = False
589.8850 	EXP 	dot_1: autoDraw = False
589.8850 	EXP 	dot_2: autoDraw = False
589.8850 	EXP 	dot_3: autoDraw = False
589.8850 	EXP 	dot_4: autoDraw = False
589.8850 	EXP 	dot_5: autoDraw = False
589.8850 	EXP 	dot_6: autoDraw = False
589.8850 	EXP 	dot_7: autoDraw = False
589.8850 	EXP 	dot_8: autoDraw = False
589.8850 	EXP 	dot_9: autoDraw = False
589.8850 	EXP 	dot_10: autoDraw = False
589.8850 	EXP 	dot_2: borderColor = <psychopy.colors.Color: (-1.0, -1.0, 0.09, 1.0)>
589.8850 	EXP 	dot_1: autoDraw = True
590.8859 	EXP 	dot_1: autoDraw = False
590.8859 	EXP 	dot_2: autoDraw = True
591.8850 	EXP 	dot_2: autoDraw = False
591.8850 	EXP 	dot_3: autoDraw = True
591.8859 	DATA 	Keypress: s
592.8853 	EXP 	dot_3: autoDraw = False
592.8853 	EXP 	dot_4: autoDraw = True
593.8853 	EXP 	dot_4: autoDraw = False
593.8853 	EXP 	dot_5: autoDraw = True
594.3861 	DATA 	Keypress: s
594.8846 	EXP 	dot_5: autoDraw = False
594.8846 	EXP 	dot_6: autoDraw = True
595.8852 	EXP 	dot_6: autoDraw = False
595.8852 	EXP 	dot_7: autoDraw = True
596.8848 	EXP 	dot_7: autoDraw = False
596.8848 	EXP 	dot_8: autoDraw = True
596.8860 	DATA 	Keypress: s
597.8848 	EXP 	dot_8: autoDraw = False
597.8848 	EXP 	dot_9: autoDraw = True
598.8847 	EXP 	dot_9: autoDraw = False
598.8847 	EXP 	dot_10: autoDraw = True
599.3851 	DATA 	Keypress: s
599.8682 	EXP 	New trial (rep=2, index=0): <Trial 2 (0 in rep 2) data={'thisN': 2, 'thisTrialN': 0, 'thisRepN': 2}>
