6.3280 	EXP 	Created dot_4 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-3.0, draggable=False, fillColor=array([-1,  1,  1]), fillColorSpace='rgb', fillRGB=array([-1,  1,  1]), interpolate=True, lineColor=array([-1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([-1,  1,  1]), lineWidth=1.0, name='dot_4', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.04, 0.04]), units='norm', vertices=ndarray(...), win=Window(...), windingRule=None)
6.3281 	EXP 	window1: mouseVisible = True
6.3299 	EXP 	Created dot_5 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-4.0, draggable=False, fillColor=array([0.451 , 0.4275, 0.4353]), fillColorSpace='rgb', fillRGB=array([0.451 , 0.4275, 0.4353]), interpolate=True, lineColor=array([0.451 , 0.4275, 0.4353]), lineColorSpace='rgb', lineRGB=array([0.451 , 0.4275, 0.4353]), lineWidth=1.0, name='dot_5', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.04, 0.04]), units='norm', vertices=ndarray(...), win=Window(...), windingRule=None)
6.3299 	EXP 	window1: mouseVisible = True
6.3317 	EXP 	Created dot_6 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-5.0, draggable=False, fillColor=array([ 1.    ,  0.7647, -0.6235]), fillColorSpace='rgb', fillRGB=array([ 1.    ,  0.7647, -0.6235]), interpolate=True, lineColor=array([ 1.    ,  0.7647, -0.6235]), lineColorSpace='rgb', lineRGB=array([ 1.    ,  0.7647, -0.6235]), lineWidth=1.0, name='dot_6', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.04, 0.04]), units='norm', vertices=ndarray(...), win=Window(...), windingRule=None)
6.3317 	EXP 	window1: mouseVisible = True
6.3336 	EXP 	Created dot_7 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-6.0, draggable=False, fillColor=array([ 0.2235, -1.    ,  1.    ]), fillColorSpace='rgb', fillRGB=array([ 0.2235, -1.    ,  1.    ]), interpolate=True, lineColor=array([-0.15, -0.1 ,  1.  ]), lineColorSpace='rgb', lineRGB=array([-0.15, -0.1 ,  1.  ]), lineWidth=1.0, name='dot_7', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.04, 0.04]), units='norm', vertices=ndarray(...), win=Window(...), windingRule=None)
6.3337 	EXP 	window1: mouseVisible = True
6.3355 	EXP 	Created dot_8 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-7.0, draggable=False, fillColor=array([ 0.3412, -0.1294, -0.5059]), fillColorSpace='rgb', fillRGB=array([ 0.3412, -0.1294, -0.5059]), interpolate=True, lineColor=array([ 0.3412, -0.1294, -0.5059]), lineColorSpace='rgb', lineRGB=array([ 0.3412, -0.1294, -0.5059]), lineWidth=1.0, name='dot_8', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.04, 0.04]), units='norm', vertices=ndarray(...), win=Window(...), windingRule=None)
6.3356 	EXP 	window1: mouseVisible = True
