thisN,thisTrialN,thisRepN,T1w_LIBRE.thisRepN,T1w_LIBRE.thisTrialN,T1w_LIBRE.thisN,T1w_LIBRE.thisIndex,thisRow.t,notes,trail.started,waiting_trigger.started,key_resp.started,fix_desc.started,trail.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_ET.started,etRecord.started,start_ET.stopped,dots.started,dot_1.started,dot_2.started,dot_1.stopped,dot_2.stopped,dot_3.started,dot_3.stopped,dot_4.started,dot_4.stopped,dot_5.started,dot_5.stopped,dot_6.started,dot_6.stopped,dot_7.started,dot_7.stopped,dot_8.started,dot_8.stopped,dot_9.started,dot_9.stopped,dot_10.started,dot_10.stopped,dots.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
32,0,32,32,0,32,0,899.8777116993442,,,,,,,,,,,,,899.8620747998357,899.8777116993442,900.8773924997076,900.8773924997076,901.8777548996732,901.8777548996732,902.8777137994766,902.8777137994766,903.8775647999719,903.8775647999719,904.8777313996106,904.8777313996106,905.8801322998479,905.8801322998479,906.8776163998991,906.8776163998991,907.8780405996367,907.8780405996367,908.8782527996227,908.8782527996227,909.8774883002043,909.8617473002523,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
33,0,33,33,0,33,0,909.8774883002043,,,,,,,,,,,,,909.8620687993243,909.8774883002043,910.8777932999656,910.8777932999656,911.8774124002084,911.8774124002084,912.8777156993747,912.8777156993747,913.8781110001728,913.8781110001728,914.8779980000108,914.8779980000108,915.8773699998856,915.8773699998856,916.8774884995073,916.8774884995073,917.8773828996345,917.8773828996345,918.8771426994354,918.8771426994354,919.87726429943,919.8618661994115,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
34,0,34,34,0,34,0,919.87726429943,,,,,,,,,,,,,919.8622615002096,919.87726429943,920.8784686997533,920.8784686997533,921.8772824993357,921.8772824993357,922.8769196001813,922.8769196001813,923.8774995999411,923.8774995999411,924.877650000155,924.877650000155,925.8769410001114,925.8769410001114,926.8768352000043,926.8768352000043,927.8771412996575,927.8771412996575,928.878533099778,928.878533099778,929.877168899402,929.8612249996513,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
35,0,35,35,0,35,0,929.877168899402,,,,,,,,,,,,,929.8615533998236,929.877168899402,930.8769587995484,930.8769587995484,931.8767860000953,931.8767860000953,932.8770114993677,932.8770114993677,933.8776839999482,933.8776839999482,934.8770367000252,934.8770367000252,935.8769888998941,935.8769888998941,936.8769875997677,936.8769875997677,937.8769453996792,937.8769453996792,938.876842699945,938.876842699945,939.8930024998263,939.878408299759,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
36,0,36,36,0,36,0,939.8930024998263,,,,,,,,,,,,,939.8787359995767,939.8930024998263,940.8772259997204,940.8930142996833,941.893141400069,941.893141400069,942.8932480001822,942.8932480001822,943.8777001993731,943.8777001993731,944.880812799558,944.880812799558,945.8769322996959,945.8769322996959,946.8772299997509,946.8772299997509,947.8928509997204,947.8928509997204,948.876540100202,948.876540100202,949.8928403994069,949.877218700014,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
37,0,37,37,0,37,0,949.8928403994069,,,,,,,,,,,,,949.8775386000052,949.8928403994069,950.8928494993597,950.8928494993597,951.8931901995093,951.8931901995093,952.8932093996555,952.8932093996555,953.8928501997143,953.8928501997143,954.8929300997406,954.8929300997406,955.8927012002096,955.8927012002096,956.892650200054,956.892650200054,957.8926232000813,957.8926232000813,958.8925770996138,958.8925770996138,959.8926026998088,959.8779347995296,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
38,0,38,38,0,38,0,959.8926026998088,,,,,,,,,,,,,959.8782623996958,959.8926026998088,960.8928618999198,960.8928618999198,961.8924989001825,961.8924989001825,962.8924492998049,962.8924492998049,963.892597399652,963.892597399652,964.8925826996565,964.8925826996565,965.8928307993338,965.8928307993338,966.8926392998546,966.8926392998546,967.892522899434,967.892522899434,968.8926293002442,968.8926293002442,969.8921945998445,969.8774760998785,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
39,0,39,39,0,39,0,969.8921945998445,,,,,,,,,,,,,969.8777917996049,969.8921945998445,970.8924300996587,970.8924300996587,971.8772008996457,971.8772008996457,972.8921248000115,972.8921248000115,973.8926229998469,973.8926229998469,974.8927018996328,974.8927018996328,975.8923672996461,975.8923672996461,976.892070999369,976.892070999369,977.8924958994612,977.8924958994612,978.8920181002468,978.8920181002468,979.8920703995973,979.8762903995812,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
40,0,40,40,0,40,0,979.8920703995973,,,,,,,,,,,,,979.8772962000221,979.8920703995973,980.8924957001582,980.8924957001582,981.8922328995541,981.8922328995541,982.8924116995186,982.8924116995186,983.8919072002172,983.8919072002172,984.8926256997511,984.8926256997511,985.8923846995458,985.8923846995458,986.8919674996287,986.8919674996287,987.8920029997826,987.8920029997826,988.8924151994288,988.8924151994288,989.8920799996704,989.8765620002523,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
41,0,41,41,0,41,0,989.8920799996704,,,,,,,,,,,,,989.8768823994324,989.8920799996704,990.8917094999924,990.8917094999924,991.8922357996926,991.8922357996926,992.8920794995502,992.8920794995502,993.8921660995111,993.8921660995111,994.8916186001152,994.8916186001152,995.8916697995737,995.8916697995737,996.8922130996361,996.8922130996361,997.8916716994718,997.8916716994718,998.8918955000117,998.8918955000117,999.8916696999222,999.8764324998483,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
42,0,42,42,0,42,0,999.8916696999222,,,,,,,,,,,,,999.8768226001412,999.8916696999222,1000.8916833000258,1000.8916833000258,1001.8915441995487,1001.8915441995487,1002.8915988998488,1002.8915988998488,1003.8921961002052,1003.8921961002052,,,,,,,,,,,,,,,,,,,,
