thisN,thisTrialN,thisRepN,T1w_LIBRE.thisRepN,T1w_LIBRE.thisTrialN,T1w_LIBRE.thisN,T1w_LIBRE.thisIndex,thisRow.t,notes,trail.started,waiting_trigger.started,key_resp.started,fix_desc.started,trail.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_ET.started,etRecord.started,start_ET.stopped,dots.started,dot_1.started,dot_2.started,dot_1.stopped,dot_2.stopped,dot_3.started,dot_3.stopped,dot_4.started,dot_4.stopped,dot_5.started,dot_5.stopped,dot_6.started,dot_6.stopped,dot_7.started,dot_7.stopped,dot_8.started,dot_8.stopped,dot_9.started,dot_9.stopped,dot_10.started,dot_10.stopped,dots.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604973,001,2025-04-24_11h34.38.747,fixation_dots_T1weighted,2024.2.1,59.914466321477484,2025-04-24 11h34.50.427099 +0200,
,,,,,,,,,18.336240199394524,18.352522399276495,18.352522399276495,18.352522399276495,26.73058799933642,s,8.356959999538958,None,,,,,,,,,,,,,,,,,,,,,,,,,,604973,001,2025-04-24_11h34.38.747,fixation_dots_T1weighted,2024.2.1,59.914466321477484,2025-04-24 11h34.50.427099 +0200,
,,,,,,,,,,,,,,,,,26.730921999551356,26.7497488996014,26.732976499944925,,,,,,,,,,,,,,,,,,,,,,,604973,001,2025-04-24_11h34.38.747,fixation_dots_T1weighted,2024.2.1,59.914466321477484,2025-04-24 11h34.50.427099 +0200,
0,0,0,0,0,0,0,26.7497488996014,,,,,,,,,,,,,26.73489339929074,26.7497488996014,27.733825800009072,27.750616899691522,28.73472880013287,28.73472880013287,29.734266099520028,29.734266099520028,30.734009199775755,30.734009199775755,31.73417849931866,31.73417849931866,32.7339813997969,32.7339813997969,33.73440369963646,33.73440369963646,34.73392659984529,34.73392659984529,35.73404789995402,35.73404789995402,36.73349319957197,36.718592499382794,604973,001,2025-04-24_11h34.38.747,fixation_dots_T1weighted,2024.2.1,59.914466321477484,2025-04-24 11h34.50.427099 +0200,
1,0,1,1,0,1,0,36.73349319957197,,,,,,,,,,,,,36.71970169991255,36.73349319957197,37.73417529929429,37.73417529929429,38.73369270004332,38.73369270004332,39.73394679930061,39.73394679930061,40.73412670008838,40.73412670008838,41.733841999433935,41.733841999433935,42.73414030019194,42.73414030019194,43.73381199967116,43.73381199967116,44.734024999663234,44.734024999663234,45.73394099995494,45.73394099995494,46.734035099856555,46.718692399561405,604973,001,2025-04-24_11h34.38.747,fixation_dots_T1weighted,2024.2.1,59.914466321477484,2025-04-24 11h34.50.427099 +0200,
2,0,2,2,0,2,0,46.734035099856555,,,,,,,,,,,,,46.71974280010909,46.734035099856555,47.733516899868846,47.733516899868846,48.73344189953059,48.73344189953059,49.73334789928049,49.73334789928049,50.733324899338186,50.733324899338186,51.73390739969909,51.73390739969909,52.73376649990678,52.73376649990678,,,,,,,,,,,,,,,,
