T1w_LIBRE.thisRepN,T1w_LIBRE.thisTrialN,T1w_LIBRE.thisN,T1w_LIBRE.thisIndex,thisRow.t,notes,waiting_trigger.started,key_resp.started,fix_desc.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,dot_1.started,dot_1.stopped,dot_2.started,dot_2.stopped,dot_3.started,dot_3.stopped,dot_4.started,dot_4.stopped,dot_5.started,dot_5.stopped,dot_6.started,dot_6.stopped,dot_7.started,dot_7.stopped,dot_8.started,dot_8.stopped,dot_9.started,dot_9.stopped,dot_10.started,dot_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,16.830410299822688,16.830410299822688,16.830410299822688,s,6.537968199700117,,,,,,,,,,,,,,,,,,,,,,,448693,001,2025-04-24_12h04.31.737,fixation_dots_T2weighted,2022.2.4,60.01151011364146,
0,0,0,0,,,,,,,,23.391245299950242,23.391245299950242,23.391245299950242,23.491265499964356,23.491265499964356,23.591105999425054,23.591105999425054,23.691233799792826,23.691233799792826,23.791317199356854,23.791317199356854,23.89115609973669,23.89115609973669,23.99123409949243,23.99123409949243,24.091173299588263,24.091173299588263,24.191753500141203,24.191753500141203,24.29134349990636,24.29134349990636,24.391782499849796,448693,001,2025-04-24_12h04.31.737,fixation_dots_T2weighted,2022.2.4,60.01151011364146,
1,0,1,0,,,,,,,,,,24.391782499849796,24.491753700189292,24.491753700189292,24.59167530015111,24.59167530015111,24.691556399688125,24.691556399688125,24.791554399766028,24.791554399766028,24.891693700104952,24.891693700104952,24.99119700025767,24.99119700025767,25.091166799888015,25.091166799888015,25.1916268998757,25.1916268998757,25.291443499736488,25.291443499736488,25.391102399677038,448693,001,2025-04-24_12h04.31.737,fixation_dots_T2weighted,2022.2.4,60.01151011364146,
2,0,2,0,,,,,,,,,,25.391102399677038,25.491397799924016,25.491397799924016,25.591782599687576,25.591782599687576,25.691779899410903,25.691779899410903,25.792151600122452,25.792151600122452,25.89142629969865,25.89142629969865,25.991706299595535,25.991706299595535,26.091388300061226,26.091388300061226,26.191279999911785,26.191279999911785,26.291252799332142,26.291252799332142,26.391611699946225,448693,001,2025-04-24_12h04.31.737,fixation_dots_T2weighted,2022.2.4,60.01151011364146,
3,0,3,0,,,,,,,,,,26.391611699946225,26.491596899926662,26.491596899926662,26.591285799629986,26.591285799629986,26.69152839947492,26.69152839947492,26.791327599436045,26.791327599436045,26.89112799987197,26.89112799987197,26.991118899546564,26.991118899546564,27.09160709939897,27.09160709939897,27.19119059946388,27.19119059946388,27.291355799883604,27.291355799883604,27.39159009978175,448693,001,2025-04-24_12h04.31.737,fixation_dots_T2weighted,2022.2.4,60.01151011364146,
,,,,,,,,,,,,,27.39159009978175,27.491382599808276,27.491382599808276,27.591218099929392,27.591218099929392,27.691601499915123,27.691601499915123,27.791225699707866,27.791225699707866,27.891642100177705,27.891642100177705,27.991446499712765,27.991446499712765,28.091264800168574,28.091264800168574,28.191318199969828,28.191318199969828,,,,,,,,,,
